text_id,text,sdg_labels,avg_agreement,num_labels,sdg_1,sdg_2,sdg_3,sdg_4,sdg_5,sdg_6,sdg_7,sdg_8,sdg_9,sdg_10,sdg_11,sdg_12,sdg_13,sdg_14,sdg_15,sdg_16,sdg_17,predicted_sdgs,num_predicted_labels,min_distance,distance_sdg_1,distance_sdg_2,distance_sdg_3,distance_sdg_4,distance_sdg_5,distance_sdg_6,distance_sdg_7,distance_sdg_8,distance_sdg_9,distance_sdg_10,distance_sdg_11,distance_sdg_12,distance_sdg_13,distance_sdg_14,distance_sdg_15,distance_sdg_16,distance_sdg_17
00021941702cd84171ff33962197ca1f,"From a gender perspective, Paulgaard points out that the labour markets of the fishing villages have been highly gender-segregated in terms of the existence of ""male jobs"" and ""female jobs""; however, the new business opportunities have led to the male population of the peripheral areas now working in the service industry in former ""female jobs"": ""That boys and girls are doing the same jobs indicates change, because traditional boundaries between women and men's work are being crossed. But the fact that young people are still working represents continuity with the past"" (Paulgaard 2002: 102). When Paulgaard refers to continuity with traditions, she refers to the expectations of young adults to participate in adult culture, thus these fishing villages traditionally have no actual youth culture. As described earlier, Paulgaard (2015) concludes that in some of Norway's peripheral areas school is still 'foreign', a time waster stealing time from young adults who should instead spend their time on what is considered to be ""real"" work.",[5],0.75,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"4,8",2,1.1312189,1.2952113,1.2594093,1.328841,1.1713488,1.2878739,1.2866702,1.2793146,1.1312189,1.3266745,1.3291832,1.2699689,1.3163042,1.2406135,1.2124591,1.3680269,1.3288172,1.3959594
0004eb64f96e1620cd852603d9cbe4d4,"The average figure also masks large differences across regions in Kazakhstan. The number of annual contacts ranges from 2.0 in Astana to 9.7 in Mangystau, and some parts of the population are likely to have very limited access to primary care. In addition, poor coverage of outpatient prescription medicines limits both the effectiveness (and appeal) of care at PHC level.",[3],0.7142857142857143,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1.1916897,1.2795848,1.3373536,1.1916897,1.3223346,1.3385575,1.3375864,1.3454682,1.3310829,1.3821864,1.2811084,1.3148738,1.3664911,1.3279673,1.3742247,1.3605827,1.3431907,1.3330882
000bfb17e9f3a00d4515ab59c5c487e7,The Israel Oceanographic and Limnological Research station monitors the quantity and quality of water along the coastline of the Mediterranean Sea. The Nature and Parks Authority (NPA) monitors water quality in rivers on behalf of the MoEP. Mekorot and local authorities monitor drinking water quality under the supervision of the Ministry of Health. The Ministry of Health monitors effluent quality prior to its use in the agricultural sector.,[6],1.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"6,12,13,14",4,1.0420499,1.247054,1.2438165,1.2522144,1.2555205,1.3337393,1.0420499,1.2278104,1.2946593,1.2252738,1.2959422,1.1727097,1.0906563,1.1641998,1.1220555,1.2063168,1.2656003,1.3135511
001180f5dd9a821e651ed51e30d0cf8c,"Previous chapters have discussed ways to make food systems more supportive of food security and better nutrition. Nutrition-sensitive food systems can give consumers better options, but ultimately it is consumers who choose what they eat. What consumers choose to eat influences their own nutritional outcomes and sends signals back through the food system - to retailers, processors and producers - that shape both what is produced and how sustainably it is produced.",[2],1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,12",2,1.1307364,1.2598926,1.1307364,1.3487774,1.3186455,1.3142412,1.2894893,1.286994,1.3535821,1.2635735,1.3000557,1.2496057,1.1910417,1.316663,1.2620199,1.3205787,1.3249058,1.353994
001f1aee4013cb098da17a979c38bc57,Prescription rates appear to be higher where labour force participation is lower. There is also a possible relationship between drug use and disability. This may arise after the definition of disability was extended to include chronic conditions. Krueger (2017(47)) found that around one-fifth of the non-participating prime age males were also regularly taking opioid painkillers.,[8],1.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,1.2583094,1.3357704,1.3979883,1.2583094,1.3508934,1.3684742,1.3880146,1.3966103,1.2874688,1.384901,1.2770396,1.3642387,1.3876164,1.4006053,1.4323629,1.4479293,1.4021153,1.4065285
00207cdcd22dc31a0239df13a04e3558,"By contrast, the share of working-age households with a working man remained relatively stable (at 76%) over time in most countries (Panel A). Germany, nevertheless, witnessed a significant decline (by about 15 percentage points) in men’s employment participation among households during this period. A. Households with a male worker Panel. In Spain, for instance, in 1995 only 22% (25%) of households had a woman working full-time (full-year), compared to 42% (52%) in the year prior to the crisis. Dutch women are now working more weeks per year, though not more hours per week.",[5],1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1,1.1811692,1.2157125,1.3198527,1.28169,1.2703569,1.3097172,1.3393495,1.3313811,1.1811692,1.3097548,1.2654443,1.3365585,1.3768576,1.292328,1.4399643,1.4712967,1.3831166,1.3663101
002363dc0399349925c2dd768365dd6d,"Parents pay a maximum fee for kindergarten only (between 15.8% and 22.5% of total costs in 2011, depending on whether the kindergarten is public or private). Counties are responsible for upper secondary education, which they finance through taxes and block grants. Costs in this sector vary considerably from one region to another. Additional state subsidies and provisions are given to avoid regional disparities. Private kindergartens (50% of all kindergartens) are also financed by the state through the block grants to municipalities.",[4],1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1.2729222,1.3423344,1.3639411,1.3481505,1.2729222,1.3921075,1.3969079,1.3797624,1.3272969,1.3843237,1.3638716,1.3982457,1.4047152,1.340097,1.3463378,1.4105537,1.3570312,1.3735493
00292cb0ff962be83dcf67a84a0da691,"For those individuals, out-of-pocket expenses average 78% of average annual income in rural areas, even with the new insurance system. For most of the decade to 2003, the number of visits to township medical centres (hospitals) had been falling, while in urban areas a similar institution did not exist. The two new insurance-based schemes were accompanied by a strategy to orient people to existing township centres and to create new urban community health centres at the level of the neighbourhood committee.",[3],1.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1.2337857,1.2400433,1.367531,1.2337857,1.3532889,1.3855299,1.3157374,1.324766,1.3357838,1.3708017,1.3673128,1.2522973,1.3694671,1.3120673,1.4292392,1.4566532,1.4318931,1.381426
0029c6c6f02eab58b0ae567c866e8ca8,"In the present case, LCOE were calculated including a carbon price of USD 30 per tonne of CO2. The advantage of nuclear energy in this context is that its average cost remains very stable in the light of changes in the fuel or in the carbon price. In particular, it is protected against fuel price changes by the low proportion of fuel costs in the total lifetime costs of nuclear power generation. Overnight costs include construction and contingency costs but exclude IDC.",[7],0.6666666666666666,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,1,1.1465766,1.3459513,1.3763651,1.3740951,1.3447454,1.4555036,1.2980238,1.1465766,1.3321866,1.2575467,1.3692893,1.2787392,1.2397144,1.2885777,1.2553356,1.3465946,1.3717883,1.2802644
002a903707a6ce3e88ec3c91e846dc6d,"It builds on the nine years of basic education (six years of primary school and three years of junior secondary school). Students entering senior secondary school can attend either a more academically oriented school or vocational school. This applies in both the Islamic and non-Islamic systems. Formal senior secondary education comprises general education (sekolah menengah atas, or SMA), vocational education (sekolah menengah kejuruan, or SMK), Islamic senior secondary schools (madrasah aliyah, or MA) and Islamic vocational education (madrasah aliyah kejuruan, or MAK). This chapter concentrates largely on the provision of academic senior secondary education, while Chapter 5 considers the vocational side. Work is under way to develop community colleges and alternative routes to further and higher education.",[4],1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,8",2,1.0904448,1.3109506,1.3681419,1.3254398,1.0904448,1.3492924,1.3211416,1.3300382,1.1987025,1.28811,1.2868155,1.319431,1.3910981,1.3907285,1.3872077,1.3999588,1.2818362,1.3166002
