text_id,text,sdg_labels,avg_agreement,num_labels,sdg_1,sdg_2,sdg_3,sdg_4,sdg_5,sdg_6,sdg_7,sdg_8,sdg_9,sdg_10,sdg_11,sdg_12,sdg_13,sdg_14,sdg_15,sdg_16,sdg_17,assigned_sdgs,num_assigned_sdgs,max_similarity,sim_sdg_1,sim_sdg_2,sim_sdg_3,sim_sdg_4,sim_sdg_5,sim_sdg_6,sim_sdg_7,sim_sdg_8,sim_sdg_9,sim_sdg_10,sim_sdg_11,sim_sdg_12,sim_sdg_13,sim_sdg_14,sim_sdg_15,sim_sdg_16,sim_sdg_17
00021941702cd84171ff33962197ca1f,"From a gender perspective, Paulgaard points out that the labour markets of the fishing villages have been highly gender-segregated in terms of the existence of ""male jobs"" and ""female jobs""; however, the new business opportunities have led to the male population of the peripheral areas now working in the service industry in former ""female jobs"": ""That boys and girls are doing the same jobs indicates change, because traditional boundaries between women and men's work are being crossed. But the fact that young people are still working represents continuity with the past"" (Paulgaard 2002: 102). When Paulgaard refers to continuity with traditions, she refers to the expectations of young adults to participate in adult culture, thus these fishing villages traditionally have no actual youth culture. As described earlier, Paulgaard (2015) concludes that in some of Norway's peripheral areas school is still 'foreign', a time waster stealing time from young adults who should instead spend their time on what is considered to be ""real"" work.",[5],0.75,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"8,4,14",3.0,0.36017182,0.16121371,0.20694399,0.11709089,0.3139709,0.17069048,0.17224,0.18167712,0.36017182,0.11996756,0.11663597,0.19358945,0.13367161,0.23043905,0.2649714,0.064251386,0.11712233,0.025648609
0004eb64f96e1620cd852603d9cbe4d4,"The average figure also masks large differences across regions in Kazakhstan. The number of annual contacts ranges from 2.0 in Astana to 9.7 in Mangystau, and some parts of the population are likely to have very limited access to primary care. In addition, poor coverage of outpatient prescription medicines limits both the effectiveness (and appeal) of care at PHC level.",[3],0.7142857142857143,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.0,0.2899377,0.18133155,0.10574275,0.2899377,0.12571557,0.1041319,0.10543144,0.0948578,0.114109054,0.044780347,0.17938076,0.13555348,0.06635106,0.11825138,0.055753272,0.07440727,0.09791957,0.11143798
000bfb17e9f3a00d4515ab59c5c487e7,The Israel Oceanographic and Limnological Research station monitors the quantity and quality of water along the coastline of the Mediterranean Sea. The Nature and Parks Authority (NPA) monitors water quality in rivers on behalf of the MoEP. Mekorot and local authorities monitor drinking water quality under the supervision of the Ministry of Health. The Ministry of Health monitors effluent quality prior to its use in the agricultural sector.,[6],1.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"6,12,14,13",4.0,0.4570663,0.22242826,0.22646017,0.21597958,0.21183428,0.1105697,0.4570663,0.24624096,0.16192849,0.24935201,0.16026676,0.31237575,0.40523452,0.32231963,0.3704958,0.27239984,0.19912797,0.13729188
001180f5dd9a821e651ed51e30d0cf8c,"Previous chapters have discussed ways to make food systems more supportive of food security and better nutrition. Nutrition-sensitive food systems can give consumers better options, but ultimately it is consumers who choose what they eat. What consumers choose to eat influences their own nutritional outcomes and sends signals back through the food system - to retailers, processors and producers - that shape both what is produced and how sustainably it is produced.",[2],1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,12",2.0,0.36071756,0.20633523,0.36071756,0.090399794,0.13058704,0.13638504,0.16860871,0.17182335,0.0839077,0.20169114,0.15492757,0.21924281,0.29070982,0.13319919,0.20365283,0.12803584,0.122312516,0.08334999
001f1aee4013cb098da17a979c38bc57,Prescription rates appear to be higher where labour force participation is lower. There is also a possible relationship between drug use and disability. This may arise after the definition of disability was extended to include chronic conditions. Krueger (2017(47)) found that around one-fifth of the non-participating prime age males were also regularly taking opioid painkillers.,[8],1.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0.0,0.20832877,0.10785863,0.022814188,0.20832877,0.08754355,0.063639164,0.03670792,0.024739964,0.17121217,0.0410246,0.18458478,0.06942635,0.037260447,0.019152394,-0.025831781,-0.048249606,0.017036298,0.010838792
00207cdcd22dc31a0239df13a04e3558,"By contrast, the share of working-age households with a working man remained relatively stable (at 76%) over time in most countries (Panel A). Germany, nevertheless, witnessed a significant decline (by about 15 percentage points) in men’s employment participation among households during this period. A. Households with a male worker Panel. In Spain, for instance, in 1995 only 22% (25%) of households had a woman working full-time (full-year), compared to 42% (52%) in the year prior to the crisis. Dutch women are now working more weeks per year, though not more hours per week.",[5],1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1.0,0.3024196,0.26102147,0.12899432,0.17863525,0.19309671,0.14232026,0.10307147,0.11371222,0.3024196,0.14227115,0.19932534,0.10680579,0.052131463,0.16494407,-0.03674865,-0.08235703,0.043494232,0.06659821
002363dc0399349925c2dd768365dd6d,"Parents pay a maximum fee for kindergarten only (between 15.8% and 22.5% of total costs in 2011, depending on whether the kindergarten is public or private). Counties are responsible for upper secondary education, which they finance through taxes and block grants. Costs in this sector vary considerably from one region to another. Additional state subsidies and provisions are given to avoid regional disparities. Private kindergartens (50% of all kindergartens) are also financed by the state through the block grants to municipalities.",[4],1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.1898346,0.099069186,0.06983226,0.09124494,0.1898346,0.031018347,0.024324017,0.048127912,0.11914145,0.04182385,0.06992699,0.02245448,0.01338755,0.10207001,0.09368717,0.005169128,0.07923315,0.0566811
00292cb0ff962be83dcf67a84a0da691,"For those individuals, out-of-pocket expenses average 78% of average annual income in rural areas, even with the new insurance system. For most of the decade to 2003, the number of visits to township medical centres (hospitals) had been falling, while in urban areas a similar institution did not exist. The two new insurance-based schemes were accompanied by a strategy to orient people to existing township centres and to create new urban community health centres at the level of the neighbourhood committee.",[3],1.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.23888643,0.23114641,0.06492948,0.23888643,0.08430463,0.04015363,0.13441752,0.12249747,0.107840754,0.06045148,0.065227814,0.21587567,0.06227991,0.13923979,-0.021362338,-0.060919262,-0.025158828,0.04583119
0029c6c6f02eab58b0ae567c866e8ca8,"In the present case, LCOE were calculated including a carbon price of USD 30 per tonne of CO2. The advantage of nuclear energy in this context is that its average cost remains very stable in the light of changes in the fuel or in the carbon price. In particular, it is protected against fuel price changes by the low proportion of fuel costs in the total lifetime costs of nuclear power generation. Overnight costs include construction and contingency costs but exclude IDC.",[7],0.6666666666666666,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,1.0,0.34268108,0.0942076,0.05280954,0.05593137,0.09582989,-0.059245355,0.15756716,0.34268108,0.112639435,0.20928818,0.06252336,0.18241306,0.23155417,0.16978386,0.21206637,0.09334162,0.059098575,0.1804616
002a903707a6ce3e88ec3c91e846dc6d,"It builds on the nine years of basic education (six years of primary school and three years of junior secondary school). Students entering senior secondary school can attend either a more academically oriented school or vocational school. This applies in both the Islamic and non-Islamic systems. Formal senior secondary education comprises general education (sekolah menengah atas, or SMA), vocational education (sekolah menengah kejuruan, or SMK), Islamic senior secondary schools (madrasah aliyah, or MA) and Islamic vocational education (madrasah aliyah kejuruan, or MAK). This chapter concentrates largely on the provision of academic senior secondary education, while Chapter 5 considers the vocational side. Work is under way to develop community colleges and alternative routes to further and higher education.",[4],1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,8",2.0,0.40546528,0.1407044,0.06409388,0.1216047,0.40546528,0.08970514,0.12729262,0.11549932,0.2815561,0.17038643,0.17205288,0.12955107,0.03242301,0.032937124,0.03782727,0.020057645,0.1784481,0.13328183
